X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.913315858326,57.7586301127825,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,18D,XXXXX
-152.912893206701,57.7578682745252,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,190,XXXXX
-152.912470654885,57.757103698302,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,193,XXXXX
-152.912062656563,57.7563666177663,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,196,XXXXX
-152.911649966702,57.7556158092869,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,199,XXXXX
-152.910858656946,57.7550259794527,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,19C,XXXXX
-152.910142511956,57.7544915356987,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,19F,XXXXX
-152.909276114605,57.7538463050623,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1A2,XXXXX
-152.908440379046,57.7532040696617,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1A5,XXXXX
-152.907584610541,57.752547969637,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1A8,XXXXX
-152.906758841802,57.7519167575825,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1AB,XXXXX
-152.905943256385,57.7512883651036,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1AE,XXXXX
-152.905122580655,57.7506599231798,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1B1,XXXXX
-152.904331981762,57.7500536337354,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1B4,XXXXX
-152.90370155245,57.7495691636721,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1B7,XXXXX
-152.902886072691,57.74894075165,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1BA,XXXXX
-152.902145486474,57.7483759396745,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1BD,XXXXX
-152.901300015769,57.7477253592413,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1C0,XXXXX
-152.900474549062,57.7470913699958,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1C3,XXXXX
-152.899654062862,57.7464628928987,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1C6,XXXXX
-152.898908709163,57.7458898081269,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1C9,XXXXX
-152.898138206303,57.7453028138566,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1CC,XXXXX
-152.89739298364,57.7447269837113,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1CF,XXXXX
-152.8965976921,57.7441151287689,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1D2,XXXXX
-152.895807378055,57.7435087865079,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1D5,XXXXX
-152.894987053584,57.7428802793999,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1D8,XXXXX
-152.894166757509,57.7422517670178,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1DB,XXXXX
