X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.443299875562,57.7945092458355,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1F9,XXXXX
-152.444573417369,57.7939149786794,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1FC,XXXXX
-152.445846917358,57.7933206984728,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,1FF,XXXXX
-152.447120375531,57.7927264052166,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,202,XXXXX
-152.448393791888,57.7921320989117,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,205,XXXXX
-152.449667166431,57.791537779559,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,208,XXXXX
-152.450940790566,57.7909479864599,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,20B,XXXXX
-152.452071064799,57.7901407207235,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,20E,XXXXX
-152.45300845747,57.7894693878656,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,211,XXXXX
-152.453945815238,57.788798047839,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,214,XXXXX
-152.454883138106,57.788126700644,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,217,XXXXX
-152.455820426074,57.7874553462812,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,21A,XXXXX
-152.456757679146,57.7867839847513,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,21D,XXXXX
-152.457694897322,57.7861126160546,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,220,XXXXX
-152.458632080605,57.7854412401919,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,223,XXXXX
-152.459569228997,57.7847698571635,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,226,XXXXX
-152.460506342499,57.7840984669701,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,229,XXXXX
-152.461443421114,57.7834270696121,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,22C,XXXXX
-152.462380464842,57.7827556650901,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,22F,XXXXX
-152.463317473688,57.7820842534047,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,232,XXXXX
-152.464254447651,57.7814128345563,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,235,XXXXX
-152.465191386734,57.7807414085455,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,238,XXXXX
-152.466128290939,57.7800699753729,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,23B,XXXXX
-152.467065160267,57.7793985350389,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,23E,XXXXX
-152.468001994721,57.7787270875441,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,241,XXXXX
-152.468938794303,57.7780556328891,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,244,XXXXX
-152.469875559014,57.7773841710743,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,247,XXXXX
-152.47085905648,57.7772198076374,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,24A,XXXXX
-152.473958096924,57.7767018319145,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,24D,XXXXX
-152.475227012056,57.7764897183538,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,250,XXXXX
-152.477184989439,57.7761623903244,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,253,XXXXX
-152.862762751183,57.7078638114374,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,256,XXXXX
-152.877570599347,57.6997032079665,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,259,XXXXX
-152.396103333464,57.7898622718581,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,25C,XXXXX
-152.40916371766,57.7928407225064,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,25F,XXXXX
-152.40861676511,57.7928183172044,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,262,XXXXX
-152.409992711068,57.7917285392181,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,265,XXXXX
-152.415347566383,57.7892004786041,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,268,XXXXX
-152.419829400415,57.7873976923043,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,26B,XXXXX
-152.42276017379,57.7862461368144,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,26E,XXXXX
-152.425692428591,57.7850562088086,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,271,XXXXX
-152.479424080994,57.7754718554426,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,274,XXXXX
-152.478070835665,57.775685465487,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,277,XXXXX
-152.481954169359,57.7749829178913,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,27A,XXXXX
-152.486274158813,57.7739419656598,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,27D,XXXXX
-152.495248073053,57.7726209280303,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,280,XXXXX
-152.500394130925,57.7693744913842,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,283,XXXXX
-152.504317001717,57.7670927741873,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,286,XXXXX
-152.508122333222,57.7648737875806,TRPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,289,XXXXX
